source,author,title,description,url,urlToImage,publishedAt,content
Daily Mail,Tom Leonard,The £1bn bitcoin heist organised from Britain,"Serving court papers on anyone who wants to avoid them can often be a challenge. But in the case of Manchester entrepreneur Benjamin Reynolds, it has proved particularly difficult.",https://www.dailymail.co.uk/news/article-9497213/The-1bn-bitcoin-heist-organised-Britain.html,https://i.dailymail.co.uk/1s/2021/04/21/22/42055284-0-image-a-9_1619039924921.jpg,2021-04-21T21:21:42Z,"Serving court papers on anyone who wants to avoid them can often be a challenge. But in the case of Manchester entrepreneur Benjamin Reynolds, it has proved particularly difficult.
When, nearly two … [+13904 chars]"
Cointelegraph,Cointelegraph By Sam Bourgi,Coinbase allocating 10% to innovation plays,The cryptocurrency exchange is looking to create a “culture of repeatable innovation” following the successful launch of its public offering last week.,https://cointelegraph.com/news/coinbase-allocating-10-to-innovation-plays,https://images.cointelegraph.com/images/1200_aHR0cHM6Ly9zMy5jb2ludGVsZWdyYXBoLmNvbS91cGxvYWRzLzIwMjEtMDQvMGE5YmUzY2EtMjYzMC00MGMyLWI5NDYtYWEyYzM2N2MwMzhhLmpwZw==.jpg,2021-04-21T21:15:00Z,"United States cryptocurrency exchange Coinbase has announced a new project aimed at increasing innovation in the nascent blockchain industry. 
Project 10 Percent will see Coinbase divert 10% of its … [+1542 chars]"
Investor's Business Daily,Investor's Business Daily,"Dow Jones Futures: Stock Market Rally Rebounds, Bitcoin Plays Tesla, Square Find Key Support; Chipotle, Lam Research Earnings Top Views","Leading stocks led Wednesday's rally, while Tesla and Square found key support. Chipotle, Lam Research beat views late.",https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-stock-market-rally-bitcoin-plays-tesla-coinbase-square-support-chipotle-lam-research-earnings/,https://www.investors.com/wp-content/uploads/2020/04/Stock-BullSculpture-09-adobe.jpg,2021-04-21T21:13:43Z,"Dow Jones futures edged lower Wednesday night, along with S&amp;P 500 futures and Nasdaq futures. Chipotle Mexican Grill (CMG) and Lam Research (LRCX) headlined key earnings reports after the close.… [+9093 chars]"
Observer,"Observer Content Studio, Observer Content Studio",Best Online Slots for Real Money: 25 High RTP Sites With Progressive Jackpots,"To help you pick your next online slot site, we’ve created this top to bottom guide about the 25 best online casinos in America right now. Using our years of personal experience as successful gamblers, we’ve based our criteria according to things like bonuses…",https://observer.com/2021/04/best-online-slots-for-real-money-25-high-rtp-sites-with-progressive-jackpots/,https://observer.com/wp-content/uploads/sites/2/2021/04/best-online-slots-sites-featured-image.jpg?quality=80&strip,2021-04-21T21:00:00Z,"Online slots are great entertainment. And every now and then, they pay big – and sometimes you win big. You can play for free for a bit of fun, or with your own money. 
The best sites have huge jack… [+17126 chars]"
Bangkok Post,Bangkok Post Public Company Limited,April sees surge in retail cryptocurrency traders,"The number of retail cryptocurrency traders in Thailand continues to skyrocket with 24,000 new accounts created in one week in April following the Securities and Exchange Commission's (SEC) approval for Bitkub to resume accepting new accounts.",https://www.bangkokpost.com/business/2103539/april-sees-surge-in-retail-cryptocurrency-traders,https://static.bangkokpost.com/newdesign/assets/images/bg/business/images_business_1.jpg?v=0.1,2021-04-21T21:00:00Z,"The number of retail cryptocurrency traders in Thailand continues to skyrocket with 24,000 new accounts created in one week in April following the Securities and Exchange Commission's (SEC) approval … [+2235 chars]"
Toronto Star,Peter Edwards - Staff Reporter,"Organized crime groups are selling fake COVID-19 vaccines and forged negative tests, expert says","“They know the incredible desire for this vaccine,” said Rob Falzon, head of engineering for Check Point Research in Canada.",https://www.thestar.com/news/gta/2021/04/21/organized-crime-groups-are-selling-fake-covid-19-vaccines-and-forged-negative-tests-expert-says.html,https://images.thestar.com/iX-kRP3SHLknOg-Tw43OO8wWOfg=/1200x800/smart/filters:cb(1619038535021)/https://www.thestar.com/content/dam/thestar/news/gta/2021/04/21/organized-crime-groups-are-selling-fake-covid-19-vaccines-and-forged-negative-tests-expert-says/vials.jpg,2021-04-21T20:55:34Z,"Organized criminals are hawking fake COVID-19 vaccines, forged negative COVID-19 tests and fake vaccine certificates on the darknet and hacking forums, a Canadian cyber security expert says.
“There’… [+2167 chars]"
Cointelegraph,Cointelegraph By Turner Wright,"German stock exchanges will delist Coinbase shares, citing 'missing reference data'","Two German-based exchanges under the Deutsche Boerse Group will reportedly delist Coinbase Global's stock ""until further notice"" starting at the end of trading on April 23.",https://cointelegraph.com/news/german-stock-exchanges-will-delist-coinbase-shares-citing-missing-reference-data,https://images.cointelegraph.com/images/1200_aHR0cHM6Ly9zMy5jb2ludGVsZWdyYXBoLmNvbS91cGxvYWRzLzIwMjEtMDQvYmJjMmUwNmMtZTVmNi00OTUzLThlMTctYmI3Y2I0NmRkZTc4LmpwZw==.jpg,2021-04-21T20:52:19Z,"The Deutsche Boerse Group has said it will delist Coinbase's stock listing on its Xetra digital stock exchange as well as the Frankfurt Stock Exchange.
According to Reuters, Deutsche Boerse said it … [+1437 chars]"
Babylonbee.com,The Babylon Bee,"Financial Experts Recommend Inventing Time Machine, Going Back To 2009 And Telling Yourself To Buy Bitcoin","U.S.—With the U.S. economy headed towards another recession and the government borrowing and spending money by the trillions, many Americans are concerned about their financial futures. In light of this, experts are saying the best way you can protect your fa…",https://babylonbee.com/news/financial-experts-recommend-inventing-time-machine-going-back-to-2009-and-telling-yourself-to-buy-bitcoin,https://media.babylonbee.com/articles/article-8440-1.jpg,2021-04-21T20:30:14Z,"U.S.—With the U.S. economy headed towards another recession and the government borrowing and spending money by the trillions, many Americans are concerned about their financial futures. In light of t… [+1076 chars]"
Kiplinger's Personal Finance,Kyle Woodley,Stock Market Today: Dow Bounces Back as Earnings Beats Roll On,Everything from the blue-chip Dow to the small-cap Russell 2000 both benefited from a broad recovery day as Q1 earnings continued to impress.,https://www.kiplinger.com/investing/stocks/602649/stock-market-today-042121-dow-jones-bounces-back-earnings,"https://mediacloud.kiplinger.com/image/private/s--X-WVjvBW--/f_auto,t_content-image-full-desktop@1/v1619035610/Investing/stock-market-today-042121.jpg",2021-04-21T20:28:00Z,"Wednesday maintained the same light-news, heavy-earnings pace of the past couple of days, but with a much better result that saw the major indexes close in the black.
Netflix (NFLX) was the primary … [+3609 chars]"
MarketWatch,Andrew Keshner,Week 3 of our money challenge: Use money as a tool to tackle your goals,Wednesday’s Personal Finance Stories,https://www.marketwatch.com/story/week-3-of-our-money-challenge-use-money-as-a-tool-to-tackle-your-goals-11619036447,https://mw3.wsj.net/mw5/content/logos/mw_logo_social.png,2021-04-21T20:20:00Z,"Sorry for the delay, MarketWatchers. You may have missed this newsletter in your inbox due to a technical error. Lets jump in to your new money challenges for the week:Congratulations on making it ha… [+4290 chars]"
